,Name,Population,Median Age,TotalAgeOvr65,state,county,fips_concate,Percent Age Ovr 65
0,"Wilkin County, Minnesota",6398.0,44.3,1177.0,27,167,27167,0.18
1,"Red Lake County, Minnesota",4017.0,42.2,764.0,27,125,27125,0.19
2,"Aitkin County, Minnesota",15841.0,54.5,4977.0,27,1,27001,0.31
3,"Clay County, Minnesota",62040.0,32.6,7875.0,27,27,27027,0.13
4,"Faribault County, Minnesota",13966.0,46.8,3114.0,27,43,27043,0.22
5,"Murray County, Minnesota",8394.0,48.1,2063.0,27,101,27101,0.25
6,"Fillmore County, Minnesota",20825.0,42.5,4180.0,27,45,27045,0.2
7,"Kandiyohi County, Minnesota",42577.0,39.5,7448.0,27,67,27067,0.17
8,"Lake County, Minnesota",10578.0,50.3,2584.0,27,75,27075,0.24
9,"Polk County, Minnesota",31564.0,38.7,5500.0,27,119,27119,0.17
10,"Rock County, Minnesota",9433.0,40.9,1836.0,27,133,27133,0.19
11,"Roseau County, Minnesota",15537.0,41.4,2447.0,27,135,27135,0.16
12,"Sibley County, Minnesota",14888.0,41.6,2605.0,27,143,27143,0.17
13,"Traverse County, Minnesota",3357.0,48.6,853.0,27,155,27155,0.25
14,"Watonwan County, Minnesota",10936.0,39.9,2119.0,27,165,27165,0.19
15,"Becker County, Minnesota",33552.0,41.8,6518.0,27,5,27005,0.19
16,"Hennepin County, Minnesota",1224763.0,36.3,158332.0,27,53,27053,0.13
17,"Big Stone County, Minnesota",5039.0,49.0,1269.0,27,11,27011,0.25
18,"Brown County, Minnesota",25243.0,42.5,5076.0,27,15,27015,0.2
19,"Chippewa County, Minnesota",12040.0,43.0,2446.0,27,23,27023,0.2
20,"Cass County, Minnesota",28810.0,48.7,6987.0,27,21,27021,0.24
21,"Clearwater County, Minnesota",8824.0,42.7,1742.0,27,29,27029,0.2
22,"Goodhue County, Minnesota",46138.0,42.9,8369.0,27,49,27049,0.18
23,"Hubbard County, Minnesota",20743.0,48.6,4985.0,27,57,27057,0.24
24,"Isanti County, Minnesota",38584.0,39.5,5593.0,27,59,27059,0.14
25,"Jackson County, Minnesota",10104.0,44.0,2066.0,27,63,27063,0.2
26,"Martin County, Minnesota",20084.0,45.2,4462.0,27,91,27091,0.22
27,"Mower County, Minnesota",39386.0,39.3,7194.0,27,99,27099,0.18
28,"Nobles County, Minnesota",21854.0,36.0,3382.0,27,105,27105,0.15
29,"Pine County, Minnesota",29057.0,44.5,5489.0,27,115,27115,0.19
30,"Olmsted County, Minnesota",151685.0,37.1,21498.0,27,109,27109,0.14
31,"Cottonwood County, Minnesota",11437.0,43.3,2538.0,27,33,27033,0.22
32,"Scott County, Minnesota",141463.0,36.0,13567.0,27,139,27139,0.1
33,"Dodge County, Minnesota",20485.0,38.0,2804.0,27,39,27039,0.14
34,"Wabasha County, Minnesota",21490.0,45.0,4322.0,27,157,27157,0.2
35,"Pipestone County, Minnesota",9229.0,42.4,1883.0,27,117,27117,0.2
36,"Crow Wing County, Minnesota",63505.0,44.1,13321.0,27,35,27035,0.21
37,"Norman County, Minnesota",6589.0,44.3,1404.0,27,107,27107,0.21
38,"Wright County, Minnesota",131130.0,36.2,15019.0,27,171,27171,0.11
39,"Nicollet County, Minnesota",33477.0,36.3,4933.0,27,103,27103,0.15
40,"Douglas County, Minnesota",36891.0,44.3,7967.0,27,41,27041,0.22
41,"Grant County, Minnesota",5923.0,45.3,1366.0,27,51,27051,0.23
42,"Kittson County, Minnesota",4384.0,47.9,1027.0,27,69,27069,0.23
43,"Le Sueur County, Minnesota",27810.0,41.4,4588.0,27,79,27079,0.16
44,"Mahnomen County, Minnesota",5500.0,35.7,933.0,27,87,27087,0.17
45,"Chisago County, Minnesota",54297.0,40.9,7627.0,27,25,27025,0.14
46,"Redwood County, Minnesota",15430.0,43.5,3229.0,27,127,27127,0.21
47,"Yellow Medicine County, Minnesota",9930.0,42.6,1954.0,27,173,27173,0.2
48,"Todd County, Minnesota",24423.0,43.7,4924.0,27,153,27153,0.2
49,"Beltrami County, Minnesota",45847.0,33.4,6724.0,27,7,27007,0.15
50,"Blue Earth County, Minnesota",65767.0,30.6,8451.0,27,13,27013,0.13
51,"Houston County, Minnesota",18709.0,45.4,3734.0,27,55,27055,0.2
52,"Lac qui Parle County, Minnesota",6840.0,50.0,1736.0,27,73,27073,0.25
53,"Lake of the Woods County, Minnesota",3841.0,51.1,846.0,27,77,27077,0.22
54,"Otter Tail County, Minnesota",57790.0,46.6,12979.0,27,111,27111,0.22
55,"Waseca County, Minnesota",18898.0,39.6,3108.0,27,161,27161,0.16
56,"St. Louis County, Minnesota",200294.0,41.0,35541.0,27,137,27137,0.18
57,"Anoka County, Minnesota",344861.0,38.2,43117.0,27,3,27003,0.13
58,"Stearns County, Minnesota",155300.0,34.1,21391.0,27,145,27145,0.14
59,"Dakota County, Minnesota",414655.0,37.7,52234.0,27,37,27037,0.13
60,"Lincoln County, Minnesota",5724.0,45.9,1401.0,27,81,27081,0.24
61,"Lyon County, Minnesota",25789.0,35.6,3801.0,27,83,27083,0.15
62,"Marshall County, Minnesota",9397.0,43.4,1893.0,27,89,27089,0.2
63,"Mille Lacs County, Minnesota",25635.0,40.1,4487.0,27,95,27095,0.18
64,"Renville County, Minnesota",14798.0,44.4,2979.0,27,129,27129,0.2
65,"Washington County, Minnesota",250979.0,39.2,33303.0,27,163,27163,0.13
66,"Carlton County, Minnesota",35408.0,40.7,5835.0,27,17,27017,0.16
67,"Cook County, Minnesota",5270.0,52.1,1378.0,27,31,27031,0.26
68,"Kanabec County, Minnesota",15948.0,44.5,3080.0,27,65,27065,0.19
69,"Koochiching County, Minnesota",12776.0,48.6,2839.0,27,71,27071,0.22
70,"Meeker County, Minnesota",23105.0,42.2,4255.0,27,93,27093,0.18
71,"Morrison County, Minnesota",32880.0,41.7,5923.0,27,97,27097,0.18
72,"Pennington County, Minnesota",14197.0,39.5,2448.0,27,113,27113,0.17
73,"Rice County, Minnesota",65251.0,36.6,9407.0,27,131,27131,0.14
74,"Steele County, Minnesota",36612.0,39.3,5941.0,27,147,27147,0.16
75,"Sherburne County, Minnesota",92024.0,35.9,9482.0,27,141,27141,0.1
76,"Wadena County, Minnesota",13626.0,41.7,2871.0,27,159,27159,0.21
77,"Benton County, Minnesota",39360.0,35.6,5210.0,27,9,27009,0.13
78,"Carver County, Minnesota",98799.0,37.2,10302.0,27,19,27019,0.1
79,"Freeborn County, Minnesota",30619.0,44.3,6643.0,27,47,27047,0.22
80,"Itasca County, Minnesota",45237.0,45.9,9683.0,27,61,27061,0.21
81,"McLeod County, Minnesota",35816.0,40.4,6351.0,27,85,27085,0.18
82,"Pope County, Minnesota",10932.0,45.9,2505.0,27,121,27121,0.23
83,"Ramsey County, Minnesota",537893.0,34.8,71903.0,27,123,27123,0.13
84,"Stevens County, Minnesota",9759.0,33.1,1675.0,27,149,27149,0.17
85,"Swift County, Minnesota",9448.0,44.1,2017.0,27,151,27151,0.21
86,"Winona County, Minnesota",50992.0,34.5,7889.0,27,169,27169,0.15
